,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
91,1,1.0,44,4438.0,loc1end,ESACC,152.98110994498631,226.29284124779548,1533.0,790.0,373.32669339333336,37.12478956169324,1787.0,759.0,250.61767695036988,222.9189314526695,1634.0,554.0,2032.0,1.0,2.0,4396.0,loc2start,ec107,8336.0,4,1420.9,1754.1,685.9,741.8
92,1,1.0,204,4642.0,,EFIX,,187.6427723095137,1533.0,790.0,,408.6105847870317,1787.0,759.0,,272.36301143877813,1634.0,554.0,2032.0,1.0,2.0,4440.0,screen,ec107,8336.0,4,,1388.0,,670.9
93,1,1.0,22,4664.0,screen,ESACC,309.5549224289609,204.8134761191265,1533.0,790.0,536.6794667210587,425.8689469778232,1787.0,759.0,378.20768104310093,283.9231586186657,1634.0,554.0,2032.0,1.0,2.0,4644.0,screen,ec107,8336.0,4,1264.7,1372.0,635.6,663.4
94,1,1.0,304,4968.0,,EFIX,,344.2735104535346,1533.0,790.0,,569.4439831976451,1787.0,759.0,,403.1583435822704,1634.0,554.0,2032.0,1.0,2.0,4666.0,screen,ec107,8336.0,4,,1235.7,,616.4
95,1,1.0,16,4984.0,screen,ESACC,408.94168288400243,357.8812791974457,1533.0,790.0,639.563992107123,582.9984648350286,1787.0,759.0,473.4035276590153,414.8346779139855,1634.0,554.0,2032.0,1.0,2.0,4970.0,screen,ec107,8336.0,4,1164.3,1223.1,613.1,611.0
96,1,1.0,76,5060.0,,EFIX,,416.5803763981209,1533.0,790.0,,647.4259880480548,1787.0,759.0,,480.85029894968363,1634.0,554.0,2032.0,1.0,2.0,4986.0,screen,ec107,8336.0,4,,1156.6,,611.5
97,1,1.0,18,149.0,screen,ESACC,275.2599680302241,304.31145229846345,1399.0,861.0,269.8066900579005,284.2827113983543,1274.0,345.0,522.2626255055974,587.6324191192995,1784.0,494.0,2031.0,1.0,2.0,133.0,screen,ec107,8168.0,5,1275.9,1210.5,614.8,622.1
98,1,1.0,110,259.0,,EFIX,,275.1222455564071,1399.0,861.0,,265.46685292141467,1274.0,345.0,,511.47438841060256,1784.0,494.0,2031.0,1.0,2.0,151.0,screen,ec107,8168.0,5,,1285.9,,610.2
99,1,1.0,38,297.0,loc2end,ESACC,509.8026480904155,281.6010298276624,1399.0,861.0,21.604166264866578,257.8432469544238,1274.0,345.0,517.1757341561957,508.41237199737776,1784.0,494.0,2031.0,1.0,2.0,261.0,screen,ec107,8168.0,5,1283.3,1287.3,364.5,602.5
100,1,1.0,554,851.0,,EFIX,,521.0239917700527,1399.0,861.0,,9.929753269845124,1274.0,345.0,,527.1121322830656,1784.0,494.0,2031.0,1.0,2.0,299.0,loc2start,ec107,8168.0,5,,1275.6,,354.8
